City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
204,morehead city,34.7229,-76.726,28.34,85,0,5.66,US,1693101047
205,kijang,35.2442,129.2139,28.85,72,52,5.13,KR,1693101048
206,menaka,15.9182,2.4022,30.54,52,97,5.42,ML,1693101048
207,babayevo,59.3936,35.9371,6.84,92,8,1.18,RU,1693101049
208,mount isa,-20.7333,139.5,27.87,24,0,7.2,AU,1693101049
209,san vicente,-26.6167,-54.1333,7.38,67,0,2.45,AR,1693101050
210,palu,-0.8917,119.8707,29.84,71,53,0.6,ID,1693101050
211,atafu village,-8.5421,-172.5159,28.35,73,18,5.46,TK,1693101051
212,severo-yeniseyskiy,60.3725,93.0408,12.75,73,18,1.25,RU,1693101051
213,inhambane,-23.865,35.3833,19.6,73,100,10.25,MZ,1693101051
214,mili,6.0815,171.735,27.91,76,94,5.73,MH,1693101052
215,arys,42.4252,68.795,20.04,75,100,3.77,KZ,1693101052
216,enewetak,11.3474,162.3373,27.1,81,93,6.76,MH,1693101053
217,salmon arm,50.6998,-119.3024,30.24,40,4,0.0,CA,1693101053
218,batumi,41.6416,41.6359,19.99,83,0,7.72,GE,1693101054
219,kerikeri,-35.2268,173.9474,17.73,71,24,1.34,NZ,1693101054
220,aykhal,66.0,111.5,20.96,48,55,5.06,RU,1693101055
221,susuman,62.7833,148.1667,14.63,53,68,2.0,RU,1693101055
222,dudinka,69.4058,86.1778,12.57,84,7,7.64,RU,1693101056
223,tolanaro,-25.0319,46.9987,21.04,83,20,3.09,MG,1693101056
224,vila franca do campo,37.7167,-25.4333,22.23,85,84,5.42,PT,1693101057
225,mosjoen,65.836,13.1908,9.29,93,20,1.03,NO,1693101057
226,gamboula,4.1178,15.1393,19.41,98,100,1.31,CF,1693101058
227,mana,5.6592,-53.7767,26.35,89,0,4.01,GF,1693101058
228,wewak,-3.5534,143.6268,29.46,70,10,4.07,PG,1693101059
229,saint croix,17.7397,-64.7388,28.25,79,0,2.06,VI,1693101059
230,tinogasta,-28.0632,-67.5649,8.59,50,0,0.67,AR,1693101060
231,thames,-37.1333,175.5333,15.64,63,64,3.94,NZ,1693101060
232,buala,-8.145,159.5921,26.5,84,100,5.59,SB,1693101062
233,ust-tsilma,65.441,52.1498,5.85,98,100,1.89,RU,1693101062
234,bhan,26.5583,67.7214,30.3,57,82,3.76,PK,1693101063
235,howard springs,-12.497,131.047,31.01,40,63,6.16,AU,1693101063
236,san patricio,28.017,-97.5169,31.4,68,15,5.09,US,1693101064
237,cadale,2.7603,46.3222,24.84,86,90,6.54,SO,1693101064
238,kendari,-3.945,122.4989,28.89,60,71,1.98,ID,1693100923
239,sandnessjoen,66.0217,12.6316,9.29,74,5,6.3,NO,1693101065
240,isla vista,34.4133,-119.861,28.9,65,0,4.12,US,1693100970
241,chibougamau,49.9168,-74.3659,11.79,71,0,1.54,CA,1693100842
242,bamboo flat,11.7,92.7167,26.05,94,40,1.03,IN,1693101067
243,ilebo,-4.3167,20.5833,21.14,86,39,0.65,CD,1693101068
244,hami,42.8,93.45,31.42,16,2,5.34,CN,1693101068
245,kimbe,-5.5502,150.1429,31.67,59,77,3.97,PG,1693101069
246,cabinda,-5.55,12.2,23.08,94,100,4.12,AO,1693101069
247,arrifes,37.7667,-25.7,21.14,78,40,4.12,PT,1693101070
248,makokou,0.5738,12.8642,20.93,99,100,1.31,GA,1693101070
249,turkmenbasy,40.0222,52.9552,21.43,73,0,4.12,TM,1693101071
250,kavaratti,10.5669,72.642,27.69,73,100,1.8,IN,1693101071
251,daru,-9.0763,143.2092,24.99,82,99,8.2,PG,1693101072
252,la passe,45.5549,-0.8967,17.77,80,100,4.21,FR,1693101072
253,bonthe,7.5264,-12.505,25.39,90,100,2.17,SL,1693101073
254,mamit,23.9333,92.4833,20.73,98,100,1.94,IN,1693101074
255,cayiralan,39.3028,35.6439,12.19,75,0,1.46,TR,1693101074
256,saipan,15.1355,145.701,28.39,89,75,7.2,MP,1693101075
257,willowmore,-33.2926,23.4895,2.02,85,0,0.82,ZA,1693101075
258,road town,18.4167,-64.6167,29.05,78,100,6.47,VG,1693101029
259,saint-philippe,-21.3585,55.7679,20.77,81,21,5.33,RE,1693101076
260,prado,-17.3411,-39.2208,22.89,96,100,4.52,BR,1693101077
261,rasht,37.2808,49.5832,21.48,84,99,1.98,IR,1693101077
262,marianna,30.7744,-85.2269,33.02,52,0,2.06,US,1693101078
263,porto novo,6.4965,2.6036,25.9,92,96,2.75,BJ,1693101078
264,ketchikan,55.3422,-131.6461,25.26,57,0,2.57,US,1693101067
265,belyy yar,53.6039,91.3903,17.94,82,0,2.0,RU,1693101079
266,jaguarari,-10.2639,-40.1958,23.42,36,0,1.48,BR,1693101080
267,mugia,43.1041,-9.2179,17.17,75,6,6.88,ES,1693101080
268,kismayo,-0.3582,42.5454,24.77,81,21,6.26,SO,1693101081
269,colonia,50.9333,6.95,16.03,82,0,1.54,DE,1693100793
270,port blair,11.6667,92.75,26.02,94,40,1.03,IN,1693101082
271,anar darah,32.7587,61.654,23.2,46,1,4.82,AF,1693101082
272,qarauyl,48.9451,79.255,18.86,55,100,3.23,KZ,1693101083
273,ugoofaaru,5.6667,73.0,28.08,75,41,2.55,MV,1693101084
274,mejit,10.2753,170.8646,28.33,78,100,6.55,MH,1693101084
275,ballina,-28.8667,153.5667,20.99,64,73,4.47,AU,1693101085
276,sambava,-14.2667,50.1667,20.92,91,86,4.16,MG,1693101086
277,bam,29.106,58.357,30.21,21,5,3.03,IR,1693101087
278,matsue,35.4722,133.0506,32.0,74,40,2.57,JP,1693101087
279,nagqu,31.5,92.0,7.18,80,35,2.7,CN,1693101088
280,karratha,-20.7377,116.8463,27.64,20,0,5.96,AU,1693101088
281,nemuro,43.3236,145.575,20.43,94,100,5.45,JP,1693101089
282,al jawf,29.5,38.75,24.63,53,0,4.83,SA,1693101090
283,monaghan,54.25,-6.9667,11.88,93,92,2.62,IE,1693101090
284,akureyri,65.6835,-18.0878,10.96,93,100,5.14,IS,1693101091
285,fort mcmurray,56.7268,-111.381,25.77,47,0,3.09,CA,1693100824
286,caleta de carquin,-11.0925,-77.6267,19.25,84,12,4.07,PE,1693101092
287,san juan colorado,16.4586,-97.9536,22.82,96,53,0.51,MX,1693101092
288,ramanuj ganj,23.8,83.7,25.68,75,99,3.8,IN,1693101094
289,mugumu,-1.85,34.7,17.27,60,3,2.15,TZ,1693101094
290,kill devil hills,36.0307,-75.676,27.77,88,40,2.57,US,1693100954
291,masuguru,-11.3667,38.4167,21.23,84,0,1.92,TZ,1693101095
292,aljezur,37.3191,-8.8033,17.9,81,66,6.99,PT,1693101096
293,yeniseysk,58.4497,92.1703,14.28,70,100,1.09,RU,1693101097
294,saldanha,-33.0117,17.9442,7.03,76,0,5.08,ZA,1693101097
295,larache,35.1932,-6.1557,22.95,74,18,5.96,MA,1693101092
296,matai,-8.3,31.5167,15.74,59,6,2.35,TZ,1693101098
297,cidade velha,14.9167,-23.6167,27.26,78,20,1.54,CV,1693101099
298,necochea,-38.5473,-58.7368,3.49,87,0,3.17,AR,1693101100
299,basmat,19.3167,77.1667,24.56,82,37,3.93,IN,1693101100
300,horta,38.5333,-28.6333,22.23,88,51,4.47,PT,1693100812
301,nimaparha,20.0667,86.0167,28.22,68,100,3.73,IN,1693101101
302,fort-shevchenko,44.5086,50.263,21.83,46,12,3.7,KZ,1693101102
303,lerwick,60.1545,-1.1494,13.0,94,100,2.54,GB,1693101102
304,umba,66.6871,34.3429,7.55,92,47,2.19,RU,1693101102
305,sabang,5.8933,95.3214,27.63,71,15,0.78,ID,1693101103
306,vegreville,53.5001,-112.0518,23.03,60,95,2.57,CA,1693101103
307,gamba,-2.65,10.0,22.61,91,88,2.62,GA,1693101104
308,kuta,-8.7233,115.1723,26.97,78,40,6.71,ID,1693101104
309,i-n-salah,27.1935,2.4607,33.85,24,100,3.91,DZ,1693101105
310,great bend,38.3645,-98.7648,24.07,63,0,4.63,US,1693100943
311,plymouth,41.8334,-70.8328,22.3,86,0,0.0,US,1693101106
312,trinidad,-14.8333,-64.9,23.07,34,0,3.45,BO,1693101106
313,veshkayma,54.05,47.1333,9.41,83,100,3.04,RU,1693101107
314,cole harbour,44.6724,-63.4751,18.88,96,100,9.26,CA,1693101107
315,haiku-pauwela,20.9219,-156.3051,31.01,37,20,9.77,US,1693101109
316,vanimo,-2.6741,141.3028,29.25,72,29,1.93,PG,1693101110
317,manta,-0.95,-80.7333,25.56,78,75,8.05,EC,1693101110
318,bakaly,55.1789,53.8028,9.6,94,100,2.34,RU,1693101111
319,lompoc,34.6391,-120.4579,23.08,82,75,7.6,US,1693101111
320,bulayevo,54.9056,70.4439,11.55,80,100,2.7,KZ,1693101112
321,wad rawah,15.1603,33.1397,24.88,66,100,10.92,SD,1693101112
322,mukalla,14.5425,49.1242,28.83,82,73,3.56,YE,1693101113
323,arzgir,45.3728,44.2206,15.73,43,0,0.31,RU,1693101113
324,tanjung pandan,-2.75,107.65,30.0,57,29,4.58,ID,1693101114
